Upi,Fleng,Fwidth,RawLength,RawWidth,Quantity,Material,Graining,UniqueEdgeId1LeadingEdge,UniqueEdgeId2LeadingEdge,UniqueEdgeId3LeadingEdge,UniqueEdgeId4LeadingEdge,Orientation,Materialflow,SerialNumber,Customernumber,Cart,PartName,Batchnumber,ErpEdge,CsvRemark,DoubleFaces,Thickness,MillingType,Reverse,PackQuantity,PackNumber,SwplQuantity,LotCode,LotDesc,ProjectName,Ftlx,Fen,Color,CabinetNo,DrillingType,WareFlag,ProductColor,CrId,NailFlag,PickupDate,ItemCodeSimple,EmergencyFlag,GIndex,SubBatchArea,DealerName,PVC,LineNo,FlowName,OptimizeList,FactoryCode,Info6DrillingNo,ItemCode,DiagonalLine,DoolFleng,DoolFwidth,DateTimeType,BatchSeq,SeeLightFlag,ReproduceFlag,CabinetNumber,ProductTypeName,PartTypeName,ModelType,HhWall,HhHandleface,DoorSerialNumber,HhLocktype,HhHingetype,OrderBrand,LineItemName,LineItemCode,HhMachiningOne,DetailRemark,HhBottomdis,DePlanComments,HgDoorSerialNumber,IsInsertedPanelLine,OldTaskNo,OldNeedItemNumber,TransverseStriation,HandleRemark,Specification,ProductDateEnd,BatchOrder,SourceColor,HhSpecification,HhMachiningTwo,HhSeq,MmGroovemessage,SealDarkintDamper,DoorPocketNum,HandleShortName,ColourTonal,MmColourmixture,MmSpecOrderRemark,BatchCarNo,BatchCarNoIndex,GcPanelType,SpecialProcess,EdgebandColour,SurfaceColor,EdgebandLogoFlag,TypeOfProduction,OriginLength,OriginWidth,DrillingNoLastFour,EdgebandLogoFlagExtend,HalmaMillType,CpnOuterColorDescriptionZH,PackageBatch,Shape,ShapeFlag,OrderBrandClass,Handle,PotColor,SpellTrayCode,TrayCode,Suite,RouteName,CommentsInValue,FilmCoverItemCode,FilmCoverPictureCode,Layer,SingleOrderSeat,SingleOrderArea,LastCol
1.3182E+12,505,304,506,304.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P3345212400321-2,35,非标18mm不见光侧板(VA),ZJ_ZN241102A1-1,四○,,,18,,,11,5,3,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1318203971011-35-1,,11月5日,,,,柜3区,哈尔滨市,034B,35,智能矩形,,131820397,,FC21801VA,589.44,505,304,B,1,,,,,,,,,107-35,,,索菲亚,非标18mm不见光侧板(VA),,  ,,扇地缝:,,35-35,0,,,,,505*304*18,,ZJ_ZN241102A1-1 | P3345212400321-2,034B,18*304*505,,107-35-,,；；,,,深花色,,,0,0,,,34,,,,506,304.5,1011,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P038,,,6,,,,,,,End
1.32002E+12,483,638.5,484,639.5,1,VA_18_034B,1,FBD6_22_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,1,1_6_16,381279230,P3726012400098-3,37,吊柜18mm背板(VA),ZJ_ZN241102A1-1,四,,双,18,,,14,6,2,ZJ_ZN241102A1-1(3),,,矩形,分,034BENF,,A8,,,1320023371105-37-1,,11月5日,,,,柜3区,镇江新区,034B,28,智能矩形,,132002337,1.32002E+12,FB11815VA,800.61,483,638.5,B,1,,,,,,,,,106-28,,,索菲亚,吊柜18mm背板(VA),,  ,,扇地缝:,,37-28,0,,,,,483*638.5*18,,ZJ_ZN241102A1-1 | P3726012400098-3,034B,18*638.5*483,,106-28-,,；；,,,深花色,,,0,0,,,34,,,,484,639.5,1105,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P080,,,6,,,,,,,End
1.32002E+12,713.5,409,714.5,409.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P3726012400098-3,37,非标中固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,14,11,8,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1320023371044-37-1,,11月5日,,,,柜3区,镇江新区,034B,54,智能矩形,,132002337,,FG0318019VA,822.41,713.5,409,B,1,,,,,,,,,106-54,,,索菲亚,非标中固层(VA),,  ,,扇地缝:,,37-54,0,,,,,713.5*409*18,,ZJ_ZN241102A1-1 | P3726012400098-3,034B,18*409*713.5,,106-54-,,；；,,,深花色,,,0,0,,,34,,,,714.5,409.5,1044,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P080,,,6,,,,,,,End
1.32002E+12,740.5,348,741.5,348.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P3726012400098-3,37,非标中固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,14,9,6,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1320023371029-37-1,,11月5日,,,,柜3区,镇江新区,034B,77,智能矩形,,132002337,,FG0318019VA,818.2,740.5,348,B,1,,,,,,,,,106-77,,,索菲亚,非标中固层(VA),,  ,,扇地缝:,,37-77,0,,,,,740.5*348*18,,ZJ_ZN241102A1-1 | P3726012400098-3,034B,18*348*740.5,,106-77-,,；；,,,深花色,,,0,0,,,34,,,,741.5,348.5,1029,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P080,,,6,,,,,,,End
1.31957E+12,417,293,418,293.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,J2789012400031-2,43,非标上固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,13,8,10,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1319567681094-43-1,,11月5日,,,,柜3区,J常州一米,034B,78,智能矩形,,131956768,,FG0118018VA,509.64,417,293,B,1,,,,,,,,,108-78,,,索菲亚,非标上固层(VA),,  ,,扇地缝:,,43-78,0,,,,,417*293*18,,ZJ_ZN241102A1-1 | J2789012400031-2,034B,18*293*417,,108-78-,,；；,,,深花色,,,0,0,,,34,,,,418,293.5,1094,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P023,,,6,,,,,,,End
1.31888E+12,654,320,655,320.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P0513012400179-6,51,非标中固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,4,1,4,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1318875551011-51-1,,11月5日,,,,柜3区,沛县,034B,26,智能矩形,,131887555,,FG0318019VA,728.09,654,320,B,1,,,,,,,,,35-26,,,索菲亚,非标中固层(VA),,  ,,扇地缝:,,51-26,0,,,,,654*320*18,,ZJ_ZN241102A1-1 | P0513012400179-6,034B,18*320*654,,35-26-,,；；,,,深花色,,,0,0,,,34,,,,655,320.5,1011,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P082,,,6,,,,,,,End
1.31909E+12,712,248.5,712,248.5,1,VA_18_034B,1,FBD0041_034,FBD0041_034,FBD0041_034,FBD0041_034,0,1_6,381279230,P0120052400199-3,55,非标榻榻米固定盖板(VA),ZJ_ZN241102A1-1,四△,,,18,,,2,1,4,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A1,,,1319093971001-55-1,,11月5日,,,,柜3区,潍坊,034B,4,智能矩形,,131909397,,FT21810VA,754.12,712,248.5,B,1,,,,,,,,,7月4日,,,索菲亚,非标榻榻米固定盖板(VA),,  ,,扇地缝:,,Apr-55,0,,,,,712*248.5*18,,ZJ_ZN241102A1-1 | P0120052400199-3,034B,18*248.5*712,,7-4-,,；；,,,深花色,,,0,0,,,34,,,,712,248.5,1001,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P046,,,6,,,,,,,End
1.31623E+12,393,361,394,361.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P1433462400172-2,58,非标中固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,13,9,10,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1316229201039-58-1,,11月5日,,,,柜3区,南京,034B,35,智能矩形,,131622920,,FG0318019VA,533.64,393,361,B,1,,,,,,,,,98-35,,,索菲亚,非标中固层(VA),,  ,,扇地缝:,,58-35,0,,,,,393*361*18,,ZJ_ZN241102A1-1 | P1433462400172-2,034B,18*361*393,,98-35-,,；；,,,深花色,,,0,0,,,34,,,,394,361.5,1039,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P005,,,6,,,,,,,End
1.31764E+12,2000,362,2001,362.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_16,381279230,Y0358052401007-2,101,5号柜顶柜18MM背板(VA),ZJ_ZN241102A1-1,四○,,双,18,,,14,5,2,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A2,,,1317639011026-101-1,,11月5日,,,,柜3区,上海市闵行,034B,41,智能矩形,,131763901,1.31764E+12,FB11812VA,2032.5,2000,362,B,1,,,,,,,,,79-41,,,索菲亚,5号柜顶柜18MM背板(VA),,  ,,扇地缝:,,101-41,0,,,,,2000*362*18,,ZJ_ZN241102A1-1 | Y0358052401007-2,034B,18*362*2000,,79-41-,,；；,,,深花色,,,0,0,,,34,,,,2001,362.5,1026,,,034B_尼可胡桃,02A1-1,,,索柜,,,05Y124,,,6,,,,,,,End
1.31957E+12,320,158,321,158.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,Y0112032400254-11,72,非标中固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,7,2,9,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A6,,,1319570691019-72-1,,11月5日,,,,柜3区,吴江,034B,37,智能矩形,,131957069,,FG0318019VA,356.88,320,158,B,1,,,,,,,,,61-37,,,索菲亚,非标中固层(VA),,  ,,扇地缝:,,72-37,0,,,,,320*158*18,,ZJ_ZN241102A1-1 | Y0112032400254-11,034B,18*158*320,,61-37-,,；；,,,深花色,,,0,0,,,34,,,,321,158.5,1019,,,034B_尼可胡桃,02A1-1,,,索柜,,,05Y033,,,6,,,,,,,End
1.31847E+12,1884,303,1885,303.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_12,381279230,P3345212400167-3,75,非标下固层(VA),ZJ_ZN241102A1-1,四○,,双,18,,,1,1,2,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A2,,,1318473921008-75-1,,11月5日,,,,柜3区,哈尔滨市,034B,1,智能矩形,,131847392,1.31847E+12,FG0218019VA,1908.21,1884,303,B,1,,,,,,,,,1月24日,,,索菲亚,非标下固层(VA),,  ,,扇地缝:,,Jan-75,0,,,,,1884*303*18,,ZJ_ZN241102A1-1 | P3345212400167-3,034B,18*303*1884,,24-1-,,；；,,,深花色,,,0,0,,,34,,,,1885,303.5,1008,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P038,,,6,,,,,,,End
1.32002E+12,625,80,625,80,1,VA_18_034B,1,FBD0041_034,FBD0041_034,FBD0041_034,FBD0041_034,0,1_6_10T,381279230,P3726012400098-2,59,18mm非标板(VA),ZJ_ZN241102A1-1,四△,左0，0，右0，0,,18,,,1,1,9,ZJ_ZN241102A1-1(1),,,小板件,,034BENF,,A1,,,1320023381021-59-1,,11月5日,,,,柜1区,镇江新区,034B,2,4.0小板件,,132002338,,FQ218VA,630.1,625,80,B,1,,,,,,,,,Feb-34,,,索菲亚,18mm非标板(VA),,  ,,扇地缝:,,Feb-59,0,,,,,625*80*18,,ZJ_ZN241102A1-1 | P3726012400098-2,034B,18*80*625,,34-2-,,；；,,,深花色,,,0,0,,,34,,,,625,80,1021,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P080,,,6,,,,,,,End
1.31863E+12,773,70,774,71,1,VA_18_034B,1,FBD6_22_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10T,381279230,P3345202400287-3,29,非标榻榻米封板拉条(VA),ZJ_ZN241102A1-1,四,,,18,,,1,1,20,ZJ_ZN241102A1-1(1),,,小板件,,034BENF,,A6,,,1318627291027-29-1,,11月5日,,,,柜1区,哈尔滨市,034B,34,4.0小板件,,131862729,,FS051803VA,776.16,773,70,B,1,★,,,,,,,,35-34,,,索菲亚,非标榻榻米封板拉条(VA),,  ,,扇地缝:,,29-34,0,,,,,773*70*18,,ZJ_ZN241102A1-1 | P3345202400287-3,034B,18*70*773,,35-34-,,；；,,,深花色,,,0,0,,,34,,,,774,71,1027,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P038,,,6,,,,,,,End
1.31681E+12,1368,60,1368,60,1,VA_18_034B,1,FBD0041_034,FBD0041_034,FBD0041_034,FBD0041_034,0,1_6_10T,381279230,Y0384022400205-17,40,18mm封板(VA),ZJ_ZN241102A1-1,四△,,,18,,,1,1,2,ZJ_ZN241102A1-1(1),,,小板件,,034BENF,,A6,,,1316807501004-40-1,,11月5日,,,,柜1区,嘉善县,034B,1,4.0小板件,,131680750,,FZ0118VA,1369.32,1368,60,B,1,★,,,,,,,,4月1日,,,索菲亚,18mm封板(VA),,  ,,扇地缝:,,Jan-40,0,,,,,1368*60*18,,ZJ_ZN241102A1-1 | Y0384022400205-17,034B,18*60*1368,,4-1-,,；；,,,深花色,,,0,0,,,34,,,,1368,60,1004,,,034B_尼可胡桃,02A1-1,,,索柜,,,05Y043,,,6,,,,,,,End
1.31984E+12,832,60,832,61,1,VA_18_034B,1,FBD6_22_034,,FBD6_22_034,,0,1_6_10T,381279230,P1183012400472-2,88,非标18mm脚线(木塞)(VA),ZJ_ZN241102A1-1,2H,按新脚线规则打孔,,18,,,1,1,9,ZJ_ZN241102A1-1(1),,,小板件,,034BENF,,A6,,,1319839101011-88-1,,11月5日,,,,柜1区,启东,034B,10,4.0小板件,,131983910,,FJ031802VA,834.16,832,60,B,1,,,,,,,,,Oct-35,,,索菲亚,非标18mm脚线(木塞)(VA),,  ,,扇地缝:,,Oct-88,0,,,,,832*60*18,,ZJ_ZN241102A1-1 | P1183012400472-2,034B,18*60*832,,35-10-,,；；,,,深花色,,,0,0,,,34,,,,832,61,1011,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P009,,,6,,,,,,,End
1.31949E+12,150,276,151,276.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,1,1_6_13,381279230,P3021012400300-2,64,非标中固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,1,1,9,ZJ_ZN241102A1-1(1),,,小板件,分,034BENF,,A6,,,1319485551012-64-1,,11月5日,,,,柜1区,集美区,034B,2,4.0小板件,,131948555,,FG0318019VA,314.13,150,276,B,1,,,,,,,,,Feb-32,,,索菲亚,非标中固层(VA),,  ,,扇地缝:,,Feb-64,0,,,,,150*276*18,,ZJ_ZN241102A1-1 | P3021012400300-2,034B,18*276*150,,32-2-,,；；,,,深花色,,,0,0,,,34,,,,151,276.5,1012,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P013,,,6,,,,,,,End
1.31909E+12,440,120,441,120.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10T,381279230,P0120052400199-7,18,非标18mm不见光侧板(VA),ZJ_ZN241102A1-1,四○,,,18,,,1,1,11,ZJ_ZN241102A1-1(1),,,小板件,,034BENF,,A6,,,1319094141008-18-1,,11月5日,,,,柜1区,潍坊,034B,25,4.0小板件,,131909414,,FC21801VA,456.07,440,120,B,1,,,,,,,,,38-25,,,索菲亚,非标18mm不见光侧板(VA),,  ,,扇地缝:,,18-25,0,,,,,440*120*18,,ZJ_ZN241102A1-1 | P0120052400199-7,034B,18*120*440,,38-25-,,；；,,,深花色,,,0,0,,,34,,,,441,120.5,1008,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P046,,,6,,,,,,,End
1.31909E+12,944,70,944,71,1,VA_18_034B,1,FBD6_22_034,,FBD6_22_034,,0,1_6_10T,381279230,P0120052400199-12,30,支撑顶柜18mm加固条(VA),ZJ_ZN241102A1-1,2H,,,18,,,1,1,22,ZJ_ZN241102A1-1(1),,,小板件,,034BENF,,A6,,,1319094611106-30-1,,11月5日,,,,柜1区,潍坊,034B,48,4.0小板件,,131909461,,FG0218VA,946.59,944,70,B,1,,,,,,,,,117-48,,,索菲亚,支撑顶柜18mm加固条(VA),,  ,,扇地缝:,,30-48,0,,,,,944*70*18,,ZJ_ZN241102A1-1 | P0120052400199-12,034B,18*70*944,,117-48-,,；；,,,深花色,,,0,0,,,34,,,,944,71,1106,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P046,,,6,,,,,,,End
1.31938E+12,643,60,643,61,1,VA_18_034B,1,FBD6_22_034,,FBD6_22_034,,0,1_6_10T,381279230,P2746032400241-6,22,非标18mm脚线(木塞)(VA),ZJ_ZN241102A1-1,2H,按新脚线规则打孔,,18,,,1,1,20,ZJ_ZN241102A1-1(1),,,小板件,,034BENF,,A6,,,1319383801032-22-1,,11月5日,,,,柜1区,平潭县,034B,46,4.0小板件,,131938380,,FJ031802VA,645.79,643,60,B,1,,,,,,,,,64-46,,,索菲亚,非标18mm脚线(木塞)(VA),,  ,,扇地缝:,,22-46,0,,,,,643*60*18,,ZJ_ZN241102A1-1 | P2746032400241-6,034B,18*60*643,,64-46-,,；；,,,深花色,,,0,0,,,34,,,,643,61,1032,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P016,,,6,,,,,,,End
