Upi,Fleng,Fwidth,RawLength,RawWidth,Quantity,Material,Graining,UniqueEdgeId1LeadingEdge,UniqueEdgeId2LeadingEdge,UniqueEdgeId3LeadingEdge,UniqueEdgeId4LeadingEdge,Orientation,Materialflow,SerialNumber,Customernumber,Cart,PartName,Batchnumber,ErpEdge,CsvRemark,DoubleFaces,Thickness,MillingType,Reverse,PackQuantity,PackNumber,SwplQuantity,LotCode,LotDesc,ProjectName,Ftlx,Fen,Color,CabinetNo,DrillingType,WareFlag,ProductColor,CrId,NailFlag,PickupDate,ItemCodeSimple,EmergencyFlag,GIndex,SubBatchArea,DealerName,PVC,LineNo,FlowName,OptimizeList,FactoryCode,Info6DrillingNo,ItemCode,DiagonalLine,DoolFleng,DoolFwidth,DateTimeType,BatchSeq,SeeLightFlag,ReproduceFlag,CabinetNumber,ProductTypeName,PartTypeName,ModelType,HhWall,HhHandleface,DoorSerialNumber,HhLocktype,HhHingetype,OrderBrand,LineItemName,LineItemCode,HhMachiningOne,DetailRemark,HhBottomdis,DePlanComments,HgDoorSerialNumber,IsInsertedPanelLine,OldTaskNo,OldNeedItemNumber,TransverseStriation,HandleRemark,Specification,ProductDateEnd,BatchOrder,SourceColor,HhSpecification,HhMachiningTwo,HhSeq,MmGroovemessage,SealDarkintDamper,DoorPocketNum,HandleShortName,ColourTonal,MmColourmixture,MmSpecOrderRemark,BatchCarNo,BatchCarNoIndex,GcPanelType,SpecialProcess,EdgebandColour,SurfaceColor,EdgebandLogoFlag,TypeOfProduction,OriginLength,OriginWidth,DrillingNoLastFour,EdgebandLogoFlagExtend,HalmaMillType,CpnOuterColorDescriptionZH,PackageBatch,Shape,ShapeFlag,OrderBrandClass,Handle,PotColor,SpellTrayCode,TrayCode,Suite,RouteName,CommentsInValue,FilmCoverItemCode,FilmCoverPictureCode,Layer,SingleOrderSeat,SingleOrderArea,LastCol
1.31811E+12,564,541,565,541.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P0091032400235-5,六,非标中固层(VA),ZJ_ZN241102A1-1,四○,,,18,,,11,11,6,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1318110571024-6-1,,11月5日,,,,柜3区,福州,034B,11,智能矩形,,131811057,,FG0318019VA,781.52,564,541,B,1,,,,,,,,,Nov-89,,,索菲亚,非标中固层(VA),,  ,,扇地缝:,,六-11,0,,,,,564*541*18,,ZJ_ZN241102A1-1 | P0091032400235-5,034B,18*541*564,,89-11-,,；；,,,深花色,,,0,0,,,34,,,,565,541.5,1024,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P004,,,6,,,,,,,End
1.31708E+12,2100,334,2101,334.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P1242012400179-2,23,非标18mm不见光侧板(VA),ZJ_ZN241102A1-1,四○,,,18,,,7,6,3,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1317082611009-23-1,,11月5日,,,,柜3区,奉化,034B,41,智能矩形,,131708261,,FC21801VA,2126.4,2100,334,B,1,,,,,,,,,75-41,,,索菲亚,非标18mm不见光侧板(VA),,  ,,扇地缝:,,23-41,0,,,,,2100*334*18,,ZJ_ZN241102A1-1 | P1242012400179-2,034B,18*334*2100,,75-41-,,；；,,,深花色,,,0,0,,,34,,,,2101,334.5,1009,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P034,,,6,,,,,,,End
1.3182E+12,2090,304,2091,304.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P3345212400321-2,35,非标18mm不见光侧板(VA),ZJ_ZN241102A1-1,四○,,,18,,,11,11,3,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1318203971004-35-1,,11月5日,,,,柜3区,哈尔滨市,034B,28,智能矩形,,131820397,,FC21801VA,2111.99,2090,304,B,1,,,,,,,,,107-28,,,索菲亚,非标18mm不见光侧板(VA),,  ,,扇地缝:,,35-28,0,,,,,2090*304*18,,ZJ_ZN241102A1-1 | P3345212400321-2,034B,18*304*2090,,107-28-,,；；,,,深花色,,,0,0,,,34,,,,2091,304.5,1004,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P038,,,6,,,,,,,End
1.3182E+12,505,304,506,304.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P3345212400321-2,35,非标18mm不见光侧板(VA),ZJ_ZN241102A1-1,四○,,,18,,,11,5,3,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1318203971005-35-1,,11月5日,,,,柜3区,哈尔滨市,034B,29,智能矩形,,131820397,,FC21801VA,589.44,505,304,B,1,,,,,,,,,107-29,,,索菲亚,非标18mm不见光侧板(VA),,  ,,扇地缝:,,35-29,0,,,,,505*304*18,,ZJ_ZN241102A1-1 | P3345212400321-2,034B,18*304*505,,107-29-,,；；,,,深花色,,,0,0,,,34,,,,506,304.5,1005,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P038,,,6,,,,,,,End
1.31623E+12,175,525,176,525,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD0041_034,FBD6_22_034,1,1_6_16,381279230,P1433462400172-1,36,非标18mm见光侧板(VA),ZJ_ZN241102A1-1,2H△2L,,,18,,,11,6,3,ZJ_ZN241102A1-1(3),,,矩形,分,034BENF,,A6,,,1316228421009-36-1,,11月5日,,,,柜3区,南京,034B,1,智能矩形,,131622842,,FC11801VA,553.4,175,525,B,1,★,,,,,,,,Jan-66,,,索菲亚,非标18mm见光侧板(VA),,  ,,扇地缝:,,Jan-36,0,,,,,175*525*18,,ZJ_ZN241102A1-1 | P1433462400172-1,034B,18*525*175,,66-1-,,；；,,,深花色,,,0,0,,,34,,,,176,525,1009,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P005,,,6,,,,,,,End
1.31957E+12,232,515,233,515.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,1,1_6_12,381279230,J2789012400031-2,43,非标18mm见光侧板(右)(VA),ZJ_ZN241102A1-1,四K○|K1,1右,,18,B4,,13,3,8,ZJ_ZN241102A1-1(3),,,矩形,分,034BENF,,A6,,,1319567681005-43-1,,11月5日,,,,柜3区,J常州一米,034B,42,智能矩形,,131956768,,FC11801RVA,564.84,232,515,B,1,★,,,,,,,,108-42,,,索菲亚,非标18mm见光侧板(右)(VA),,  ,,扇地缝:,,43-42,0,,,,,232*515*18,,ZJ_ZN241102A1-1 | J2789012400031-2,034B,18*515*232,,108-42-,,；；,,右,深花色,,,0,0,,,34,,,,233,515.5,1005,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P023,,,6,,,,,,,End
1.31724E+12,878,369,879,369.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,0,1_6_10,381279230,P0120102400516-2,13,18mm底板(吊柜)(VA),ZJ_ZN241102A1-1,四○,,,18,,,14,14,7,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1317238261113-13-1,,11月5日,,,,柜3区,潍坊旗舰,034B,66,智能矩形,,131723826,,FG0221810VA,952.39,878,369,B,1,,,,,,,,,118-66,,,索菲亚,18mm底板(吊柜)(VA),,  ,,扇地缝:,,13-66,0,,,,,878*369*18,,ZJ_ZN241102A1-1 | P0120102400516-2,034B,18*369*878,,118-66-,,；；,,,深花色,,,0,0,,,34,,,,879,369.5,1113,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P040,,,6,,,,,,,End
1.31724E+12,608,877.5,609,878.5,1,VA_18_034B,1,FBD6_22_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,1,1_6_16,381279230,P0120102400516-2,13,吊柜18mm背板(VA),ZJ_ZN241102A1-1,四,,双,18,,,14,5,2,ZJ_ZN241102A1-1(3),,,矩形,分,034BENF,,A8,,,1317238261115-13-1,,11月5日,,,,柜3区,潍坊旗舰,034B,68,智能矩形,,131723826,1.31724E+12,FB11815VA,1067.55,608,877.5,B,1,,,,,,,,,118-68,,,索菲亚,吊柜18mm背板(VA),,  ,,扇地缝:,,13-68,0,,,,,608*877.5*18,,ZJ_ZN241102A1-1 | P0120102400516-2,034B,18*877.5*608,,118-68-,,；；,,,深花色,,,0,0,,,34,,,,609,878.5,1115,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P040,,,6,,,,,,,End
1.31909E+12,284,323,285,323.5,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD6_22_034,FBD6_22_034,1,1_6_10,381279230,P0120052400199-4,28,非标中固层(VA),ZJ_ZN241102A1-1,四○,,,18,,+,7,3,9,ZJ_ZN241102A1-1(3),,,矩形,分,034BENF,,A6,,,1319094181034-28-1,,11月5日,,,,柜3区,潍坊,034B,18,智能矩形,,131909418,,FG0318019VA,430.1,284,323,B,1,,,,,,,,,58-18,,,索菲亚,非标中固层(VA),,  ,,扇地缝:,,28-18,0,,,,,284*323*18,,ZJ_ZN241102A1-1 | P0120052400199-4,034B,18*323*284,,58-18-,,；；,,,深花色,,,0,0,,,34,,,,285,323.5,1034,,,034B_尼可胡桃,02A1-1,,,索柜,,,05P046,,,6,,,,,,,End
1.32003E+12,1576,550,1577,550,1,VA_18_034B,1,FBD0041_034,FBD6_22_034,FBD0041_034,FBD6_22_034,0,1_6_10,381279230,Y0323142400085-12,33,非标18mm见光侧板(VA),ZJ_ZN241102A1-1,2H△2L,,,18,,,19,18,2,ZJ_ZN241102A1-1(3),,,矩形,,034BENF,,A3,,,1320033271013-33-1,,11月5日,,,,柜3区,杭州佳盛,034B,117,智能矩形,,132003327,,FC11801VA,1669.21,1576,550,B,1,★,,,,,,,,125-117,,,索菲亚,非标18mm见光侧板(VA),,  ,,扇地缝:,,33-117,0,,,,,1576*550*18,,ZJ_ZN241102A1-1 | Y0323142400085-12,034B,18*550*1576,,125-117-,,；；,,,深花色,,,0,0,,,34,,,,1577,550,1013,,,034B_尼可胡桃,02A1-1,,,索柜,,,05Y081,,,6,,,,,,,End
