L_air,L_cut,L_cut_base,L_kerf_extra,L_lead,L_shared,N_lift,T_est,U,board,kerf_mode,lead_in,lead_out,min_trails_lb,n_comp,n_parts,n_stroke,n_tabs,odd_total,stroke_over_lb,tool_d
7564.280858260481,12894.292006587697,12195.0,339.29200658769764,360.0,0.0,18,94.00002174945945,0.9345723595807579,1,tool_center,10.0,10.0,13,13,4,18,16,18,1.3846153846153846,6.0
7998.21806587625,18772.38934211693,17840.0,452.3893421169302,480.0,0.0,24,129.05838284233715,0.9452096210696049,2,tool_center,10.0,10.0,15,15,5,24,19,22,1.6,6.0
8186.228371781041,19431.938009881545,18383.0,508.93800988154646,540.0,0.0,27,135.13214679296982,0.9407296425692018,3,tool_center,10.0,10.0,17,17,6,27,23,24,1.588235294117647,6.0
6852.872275694235,18287.690230273853,17433.0,414.6902302738527,440.0,0.0,22,122.74419570275774,0.9199244154797097,4,tool_center,10.0,10.0,14,14,5,22,19,20,1.5714285714285714,6.0
7676.6372485268,18292.44245066616,17632.0,320.4424506661589,340.0,0.0,17,120.41548675038442,0.9552069336199946,5,tool_center,10.0,10.0,11,11,4,17,16,20,1.5454545454545454,6.0
9170.252517117719,22955.03534541078,21673.0,622.0353454107791,660.0,0.0,33,159.51568176128933,0.9198212846009137,6,tool_center,10.0,10.0,22,22,7,33,28,30,1.5,6.0
8515.58397792248,19991.190230273853,19136.5,414.6902302738527,440.0,0.0,22,134.58711910721422,0.9238610252620263,7,tool_center,10.0,10.0,15,15,5,22,20,22,1.4666666666666666,6.0
9232.370785709785,24548.13356909693,23110.699999999997,697.4335690969341,740.0,0.0,37,170.80540941690424,0.9387975846546627,8,tool_center,10.0,10.0,22,22,8,37,31,34,1.6818181818181819,6.0
8863.282989043104,22735.584013175394,21337.0,678.5840131753953,720.0,0.0,36,160.2044860439632,0.9352289371136792,9,tool_center,10.0,10.0,23,23,8,36,32,34,1.565217391304348,6.0
8472.588968658274,19858.938009881545,18810.0,508.93800988154646,540.0,0.0,27,137.83986798672427,0.8958069067454986,10,tool_center,10.0,10.0,18,18,6,27,24,26,1.5,6.0
9019.513138778864,23993.3362335677,22789.0,584.3362335677015,620.0,0.0,31,162.80570744539625,0.9175117575920452,11,tool_center,10.0,10.0,20,20,7,31,28,30,1.55,6.0
10674.782555580387,24306.53090462617,22636.0,810.5309046261666,860.0,0.0,43,177.2822196342916,0.9113616131416286,12,tool_center,10.0,10.0,29,29,10,43,40,38,1.4827586206896552,6.0
8515.273848553357,28593.28312501847,27117.0,716.2831250184728,760.0,0.0,38,190.39696332219907,0.895418234345606,13,tool_center,10.0,10.0,25,25,8,38,32,36,1.52,6.0
8837.206677479287,24777.83179278309,23185.0,772.8317927830891,820.0,0.0,41,174.36357231887405,0.8934337207739855,14,tool_center,10.0,10.0,26,26,9,41,36,40,1.5769230769230769,6.0
10627.798792365833,29763.97779607694,27821.5,942.4777960769379,1000.0,0.0,50,210.07548656511636,0.8994212745229777,15,tool_center,10.0,10.0,32,32,11,50,44,44,1.5625,6.0
11900.201526996148,27118.72557568463,24982.0,1036.7255756846316,1100.0,0.0,55,203.3940309324155,0.8720133196721311,16,tool_center,10.0,10.0,35,35,12,55,48,50,1.5714285714285714,6.0
10421.85683114443,27108.42468752771,24894.0,1074.4246875277092,1140.0,0.0,57,201.98583709992738,0.8493019349637194,17,tool_center,10.0,10.0,36,36,12,57,48,56,1.5833333333333333,6.0
12439.502805933153,25193.97779607694,23251.5,942.4777960769379,1000.0,0.0,50,190.84889459225099,0.8964963215533459,18,tool_center,10.0,10.0,32,32,11,50,44,48,1.5625,6.0
11271.031108527492,29484.769802664636,26843.0,1281.7698026646356,1360.0,0.0,68,224.36591123037817,0.8632768409029831,19,tool_center,10.0,10.0,40,40,14,68,53,46,1.7,6.0
12067.696604385554,27232.47069082156,24668.4,1244.0706908215582,1320.0,0.0,66,213.09774666287893,0.8055105818328406,20,tool_center,10.0,10.0,43,43,14,66,56,56,1.5348837209302326,6.0
11719.430242555838,24863.573355292327,22532.600000000002,1130.9733552923256,1200.0,0.0,60,195.7567272615733,0.7996327936038699,21,tool_center,10.0,10.0,38,38,13,60,52,52,1.5789473684210527,6.0
12745.142741238495,25784.267138193878,22909.40000000001,1394.8671381938682,1480.0,0.0,74,213.6116211734464,0.6928393576995431,22,tool_center,10.0,10.0,45,45,16,74,64,66,1.6444444444444444,6.0
3773.694118642963,7100.340674352314,6284.5,395.84067435231395,420.0,0.0,21,59.84909160904749,0.16880788094598226,23,tool_center,10.0,10.0,13,13,5,21,20,24,1.6153846153846154,6.0
