case,variant,seed,N_input,N_board,runtime_s,U_avg,L_shared_sum,N_lift_sum,L_air_sum,L_cut_sum,L_cut_base_sum,L_kerf_extra_sum,L_lead_sum,T_est_sum,min_trails_lb_sum,n_comp_sum,n_stroke_sum,n_tabs_sum,odd_total_sum
demo_case,baselineA,1000,200,23,3.3211888000078034,0.8597471453150742,0.0,911,204626.66320618105,523268.3954445218,487876.45,17171.94544452181,18220.0,3754.3953036349712,562,562,911,788,854
demo_case,baselineA,1001,200,23,0.9511305000050925,0.8597471453150742,0.0,911,204626.66320618105,523268.3954445218,487876.45,17171.94544452181,18220.0,3754.3953036349712,562,562,911,788,854
demo_case,baselineA,1002,200,23,0.9586699999927077,0.8597471453150742,0.0,911,204626.66320618105,523268.3954445218,487876.45,17171.94544452181,18220.0,3754.3953036349712,562,562,911,788,854
