case,variant,seed,N_input,N_board,runtime_s,U_avg,L_shared_sum,N_lift_sum,L_air_sum,L_cut_sum,L_cut_base_sum,L_kerf_extra_sum,L_lead_sum,T_est_sum,min_trails_lb_sum,n_comp_sum,n_stroke_sum,n_tabs_sum,odd_total_sum
demo_case,proposed_shared,1000,200,23,8.636437199995271,0.8597471453150742,142053.5,1254,220128.87739853867,397920.79312560963,349203.45,23637.343125609605,25080.0,3433.0617204251253,902,550,1254,786,1804
demo_case,proposed_shared,1001,200,23,6.54134029999841,0.8597471453150742,141977.8,1262,220480.06552011933,398289.8895729819,349261.75,23788.139572981912,25240.0,3442.0095789051484,908,554,1262,788,1816
demo_case,proposed_shared,1002,200,23,6.487753399997018,0.8597471453150742,139534.4,1291,231536.0122813859,401662.97669470654,351508.2,24334.776694706536,25820.0,3504.1869080363044,936,581,1291,792,1872
