variant,n,U_mean,L_air_mean,L_air_std,L_cut_base_mean,L_cut_base_std,L_cut_mean,L_cut_std,L_kerf_extra_mean,L_kerf_extra_std,L_lead_mean,L_lead_std,L_shared_mean,L_shared_std,N_board_mean,N_board_std,N_lift_mean,N_lift_std,T_est_mean,T_est_std,U_std,p_T_vs_A,p_T_vs_B,runtime_mean,runtime_std
baselineA,3,0.8597471453150742,204626.66320618105,0.0,487876.45,0.0,523268.3954445218,0.0,17171.94544452181,0.0,18220.0,0.0,0.0,0.0,23,0.0,911,0.0,3754.3953036349712,0.0,0.0,,,1.7436631000018679,1.1154833665723658
baselineB,3,0.8597471453150742,210241.02918280393,4598.6025108818085,487741.85000000003,203.43802905715978,523263.29396426026,235.47775579208042,17234.777297593606,128.1523379553122,18286.666666666668,135.9738536958076,0.0,0.0,23,0.0,914.3333333333334,6.79869268479038,3768.265194853576,12.970524668829226,0.0,,,5.383347066657734,0.9212450428787888
proposed_shared,3,0.8597471453150742,224048.31840001463,5296.539941007293,349991.13333333336,1072.992132879933,399291.219797766,1683.8410713810167,23920.086464432683,299.6229657958618,25380.0,317.90984046843636,141188.56666666665,1170.080664835644,23,0.0,1269,15.895492023421818,3459.7527357888594,31.63134300375019,0.0,0.25,0.25,7.221843633330233,1.000507907048723
