case,variant,seed,N_input,N_board,runtime_s,U_avg,L_shared_sum,N_lift_sum,L_air_sum,L_cut_sum,L_cut_base_sum,L_kerf_extra_sum,L_lead_sum,T_est_sum,min_trails_lb_sum,n_comp_sum,n_stroke_sum,n_tabs_sum,odd_total_sum
demo_case,baselineB,1000,200,23,6.680173699991428,0.8597471453150742,0.0,921,208471.37371583915,523596.19100373716,487815.75,17360.441003737196,18420.0,3771.7237024503643,571,571,921,789,866
demo_case,baselineB,1001,200,23,4.6266786999913165,0.8597471453150742,0.0,905,205706.26678180072,523104.5481089926,487945.7,17058.848108992577,18100.0,3750.9352741085645,558,558,905,790,856
demo_case,baselineB,1002,200,23,4.8431887999904575,0.8597471453150742,0.0,917,216545.44705077197,523089.14278005104,487464.10000000003,17285.04278005104,18340.0,3782.1366080017992,584,584,917,793,836
